id,scientific_name,rank,kingdom,phylum,class,order,family,genus
87,Philonotis fontana (Hedw.) Brid.,SPECIES,Plantae,Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Philonotis
88,Philonotis marchica (Hedw.) Brid.,SPECIES,Plantae,Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Philonotis
91,Physcomitrium eurystomum Sendtn.,SPECIES,Plantae,Bryophyta,Bryopsida,Funariales,Funariaceae,Physcomitrium
93,Acaulon muticum (Hedw.) Mll.Hal.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Acaulon
96,Aloina aloides (Koch ex Schultz) Kindb.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Aloina
97,Aloina rigida (Hedw.) Limpr.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Aloina
99,Amblyodon dealbatus (Hedw.) P.Beauv.,SPECIES,Plantae,Bryophyta,Bryopsida,Splachnales,Meesiaceae,Amblyodon
103,Pseudocampylium radicale (P.Beauv.) Vanderp. & Hedenäs,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Pseudocampylium
104,Amblystegium serpens (Hedw.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Amblystegium
115,Aneura maxima (Schiffn.) Steph.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Aneuraceae,Aneura
116,Aneura pinguis (L.) Dumort.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Aneuraceae,Aneura
121,Pseudanomodon attenuatus (Hedw.) Ignatov & Fedosov,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Neckeraceae,Pseudanomodon
124,Anomodon viticulosus (Hedw.) Hook. & Taylor,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Anomodontaceae,Anomodon
126,Anthoceros agrestis Paton,SPECIES,Plantae,Anthocerotophyta,Anthocerotopsida,Anthocerotales,Anthocerotaceae,Anthoceros
127,Anthoceros caucasicus Steph.,SPECIES,Plantae,Anthocerotophyta,Anthocerotopsida,Anthocerotales,Anthocerotaceae,Anthoceros
128,Anthoceros punctatus L.,SPECIES,Plantae,Anthocerotophyta,Anthocerotopsida,Anthocerotales,Anthocerotaceae,Anthoceros
130,Antitrichia curtipendula (Hedw.) Brid.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Leucodontaceae,Antitrichia
136,Archidium alternifolium (Hedw.) Mitt.,SPECIES,Plantae,Bryophyta,Bryopsida,Archidiales,Archidiaceae,Archidium
138,Atrichum angustatum (Brid.) Bruch & Schimp.,SPECIES,Plantae,Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Atrichum
139,Atrichum tenellum (R”hl.) Bruch & Schimp.,SPECIES,Plantae,Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Atrichum
140,Atrichum undulatum (Hedw.) P.Beauv.,SPECIES,Plantae,Bryophyta,Polytrichopsida,Polytrichales,Polytrichaceae,Atrichum
142,Aulacomnium androgynum (Hedw.) Schwägr.,SPECIES,Plantae,Bryophyta,Bryopsida,Aulacomniales,Aulacomniaceae,Aulacomnium
143,Aulacomnium palustre (Hedw.) Schwägr.,SPECIES,Plantae,Bryophyta,Bryopsida,Aulacomniales,Aulacomniaceae,Aulacomnium
145,"Neoorthocaulis attenuatus (Mart.) L.S”derstr., De Roo & Hedd.",SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Neoorthocaulis
146,Barbilophozia barbata (Schmidel ex Schreb.) Loeske,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Barbilophozia
147,"Neoorthocaulis floerkei (F.Weber & D.Mohr) L.S”derstr., De Roo & Hedd.",SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Neoorthocaulis
148,Barbilophozia hatcheri (A.Evans) Loeske,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Barbilophozia
151,Streblotrichum convolutum (Hedw.) P.Beauv.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Streblotrichum
152,Barbula unguiculata Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Barbula
156,Bartramia pomiformis Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Bartramia
158,Bazzania trilobata (L.) S.F.Gray,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lepidoziaceae,Bazzania
161,Blasia pusilla L.,SPECIES,Plantae,Marchantiophyta,Marchantiopsida,Blasiales,Blasiaceae,Blasia
165,Brachythecium albicans (Hedw.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium
167,Brachythecium glareosum (Bruch ex Spruce) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium
168,Brachythecium mildeanum (Schimp.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium
174,Brachythecium rivulare Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium
175,Brachythecium rutabulum (Hedw.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium
176,Brachythecium salebrosum (Hoffm. ex F.Weber & D.Mohr) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Brachythecium
181,Bryoerythrophyllum ferruginascens (Stirt.) Giacom.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Bryoerythrophyllum
182,Bryoerythrophyllum recurvirostrum (Hedw.) P.C.Chen,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Bryoerythrophyllum
184,Ptychostomum compactum Hornsch.,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
186,Bryum argenteum Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
187,Bryum dichotomum Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
188,Ptychostomum bornholmense (Wink. & R.Ruthe) Holyoak & N.Pedersen,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
189,Ptychostomum imbricatulum (Mll.Hal.) Holyoak & N.Pedersen,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
191,Ptychostomum capillare (Hedw.) Holyoak & N.Pedersen,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
192,Ptychostomum creberrimum (Taylor) J.R.Spence & H.P.Ramsay,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
193,Ptychostomum cyclophyllum (Schwägr.) J.R.Spence,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
194,Bryum demaretianum Arts,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
195,Bryum dichotomum Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
197,Bryum dyffrynense Holyoak,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
198,Ptychostomum elegans (Nees.) D.Bell & Holyoak,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
200,Bryum gemmiferum R.Wilczek & Demaret,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
201,Bryum gemmilucens R.Wilczek & Demaret,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
204,Ptychostomum intermedium (Brid.) J.R.Spence,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
205,Bryum klinggraeffii Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
206,Ptychostomum knowltonii (Barnes) J.R.Spence,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
208,Ptychostomum moravicum (Podp.) Ros & Mazimpaka,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
211,Ptychostomum pallens (Sw. ex anon.) J.R.Spence,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
212,Ptychostomum pallescens (Schleich. ex Schwägr.) J.R.Spence,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
213,Ptychostomum pseudotriquetrum (Hedw.) J.R.Spence & H.P.Ramsay ex Holyoak & N.Pedersen,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
214,Bryum radiculosum Brid.,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
216,Bryum ruderale Crundw. & Nyholm,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
218,Bryum sauteri Bruch & Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
220,Imbribryum subapiculatum (Hampe) D.Bell & Holyoak,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Imbribryum
222,Imbribryum tenuisetum (Limpr.) D.Bell & Holyoak,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Imbribryum
227,Bryum violaceum Crundw. & Nyholm,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum
228,Ptychostomum warneum (R”hl.) J.R.Spence,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
229,Ptychostomum weigelii (Biehler) J.R.Spence,SPECIES,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Ptychostomum
231,Buxbaumia aphylla Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Buxbaumiales,Buxbaumiaceae,Buxbaumia
233,Calliergon cordifolium (Hedw.) Kindb.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Calliergonaceae,Calliergon
234,Calliergon giganteum (Schimp.) Kindb.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Calliergonaceae,Calliergon
237,Calliergonella cuspidata (Hedw.) Loeske,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Pylaisiaceae,Calliergonella
238,Calliergonella lindbergii (Mitt.) Hedenäs,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Pylaisiaceae,Calliergonella
240,Calypogeia arguta Nees & Mont.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Calypogeiaceae,Calypogeia
241,Calypogeia azurea Stotler & Crotz,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Calypogeiaceae,Calypogeia
242,Calypogeia fissa (L.) Raddi,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Calypogeiaceae,Calypogeia
243,Calypogeia integristipula Steph.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Calypogeiaceae,Calypogeia
244,Calypogeia muelleriana (Schiffn.) Mll.Frib.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Calypogeiaceae,Calypogeia
245,Calypogeia neesiana (C.Mass. & Carestia.) Mll.Frib.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Calypogeiaceae,Calypogeia
246,Calypogeia sphagnicola (Arnell. & J.Perss.) Warnst. & Loeske,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Calypogeiaceae,Calypogeia
249,Campyliadelphus chrysophyllus (Brid.) R.S.Chopra,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Campyliadelphus
250,Campyliadelphus elodes (Lindb.) Kanda,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Campyliadelphus
252,Campylium stellatum (Hedw.) Lange & C.E.O.Jensen,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Campylium
254,Campylophyllopsis calcarea (Crundw. & Nyholm) Ochyra,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Campylophyllopsis
257,Campylopus flexuosus (Hedw.) Brid.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Campylopus
259,Campylopus introflexus (Hedw.) Brid,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Campylopus
261,Campylopus pyriformis (Schultz) Brid.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Campylopus
268,Cephalozia bicuspidata (L.) Dumort.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Cephalozia
270,Fuscocephaloziopsis connivens (Dicks.) V ?a & L.S”derstr.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Fuscocephaloziopsis
271,Fuscocephaloziopsis lunulifolia (Dumort.) V ?a & L.S”derstr.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Fuscocephaloziopsis
272,Fuscocephaloziopsis macrostachya (Kaal.) V ?a & L.S”derstr.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Fuscocephaloziopsis
273,Fuscocephaloziopsis pleniceps (Austin) V ?a & L.S”derstr.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Fuscocephaloziopsis
276,Cephaloziella divaricata (Sm.) Schiffn.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae,Cephaloziella
277,Cephaloziella elachista (J.B.Jack ex Gottsche & Rabenh.) Schiffn.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae,Cephaloziella
278,Cephaloziella hampeana (Nees) Schiffn.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae,Cephaloziella
279,Cephaloziella rubella (Nees) Warnst.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae,Cephaloziella
280,Cephaloziella stellulifera (Taylor ex Carrington & Pearson) Croz.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziellaceae,Cephaloziella
283,Ceratodon purpureus (Hedw.) Brid.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ceratodon
285,Chiloscyphus pallescens (Ehrh. ex Hoffm.) Dumort.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophocoleaceae,Chiloscyphus
291,Cinclidotus danubicus Schiffn. & Baumgartner,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Cinclidotus
292,Cinclidotus fontinaloides (Hedw.) P.Beauv.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Cinclidotus
293,Cinclidotus riparius (Host ex Brid.) Arn.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Cinclidotus
295,Cirriphyllum piliferum (Hedw.) Grout,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Cirriphyllum
298,Odontoschisma fluitans (Nees) L.S”derstr. & V ?a,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Odontoschisma
299,Odontoschisma francisci (Hook.) L.S”derstr. & V ?a,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Odontoschisma
301,Climacium dendroides (Hedw.) F.Weber & D.Mohr,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Climaciaceae,Climacium
304,"Myriocoleopsis minutissima (Sm.) R.L.Zhu, Y.Yu & P¢cs",SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Myriocoleopsis
314,Cratoneuron filicinum (Hedw.) Spruce,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Cratoneuron
318,Cryphaea heteromalla (Hedw.) D.Mohr,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Cryphaeaceae,Cryphaea
320,Ctenidium molluscum (Hedw.) Mitt.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Myuriaceae,Ctenidium
327,Dialytrichia mucronata (Brid.) Broth.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Dialytrichia
330,Dichodontium pellucidum (Hedw.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dichodontium
332,Dicranella cerviculata (Hedw.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella
333,Dicranella heteromalla (Hedw.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella
335,Dicranella  rufescens (Dicks.) Schimp,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella
336,Dicranella schreberiana (Hedw.) Dixon,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella
337,Dicranella staphylina H.Whitehouse,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella
339,Dicranella varia (Hedw.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranella
341,Dicranodontium denudatum (Brid.) E.Britton,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranodontium
342,Dicranoweisia cirrata (Hedw.) Lindb.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranoweisia
346,Dicranum bonjeanii De Not.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
347,Dicranum flagellare Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
350,Dicranum majus Sm.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
351,Dicranum montanum Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
352,Dicranum polysetum Sw. ex anon.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
353,Dicranum scoparium Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
354,Dicranum spurium Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
355,Dicranum tauricum Sapjegin,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Dicranaceae,Dicranum
358,Didymodon acutus (Brid.) K.Saito,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Didymodon
360,Didymodon fallax (Hedw.) R.H.Zander,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Didymodon
362,Didymodon luridus Hornsch.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Didymodon
363,Didymodon nicholsonii Culm.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Didymodon
364,Didymodon rigidulus Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Didymodon
365,Didymodon sinuosus (Mitt.) Delogne,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Didymodon
366,Didymodon spadiceus (Mitt.) Limpr.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Didymodon
367,Didymodon tophaceus (Brid.) Lisa,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Didymodon
368,Didymodon vinealis (Brid.) R.H.Zander,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Didymodon
372,Diplophyllum albicans (L.) Dumort.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Scapaniaceae,Diplophyllum
373,Diplophyllum obtusifolium (Hook.) Dumort.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Scapaniaceae,Diplophyllum
381,Flexitrichum flexicaule (Schwägr..) Ignatov & Fedosov,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Flexitrichaceae,Flexitrichum
382,Flexitrichum gracile (Mitt.) Ignatov & Fedosov,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Flexitrichaceae,Flexitrichum
383,Ditrichum heteromallum (Hedw.) E.Britton,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Flexitrichaceae,Ditrichum
384,Ditrichum lineare (Sw.) Lindb.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ditrichum
385,Ditrichum pallidum (Hedw.) Hampe,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ditrichum
386,Ditrichum pusillum (Hedw.) Hampe,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ditrichum
390,Drepanocladus aduncus (Hedw.) Warnst.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Drepanocladus
391,Drepanocladus polygamus (Schimp.) Hedenäs,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Drepanocladus
395,Encalypta streptocarpa Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Encalyptales,Encalyptaceae,Encalypta
396,Encalypta vulgaris Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Encalyptales,Encalyptaceae,Encalypta
398,Entodon concinnus (De Not.) Paris,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Entodontaceae,Entodon
400,Entosthodon fascicularis (Hedw.) Mll.Hal,SPECIES,Plantae,Bryophyta,Bryopsida,Funariales,Funariaceae,Entosthodon
401,Entosthodon obtusus (Hedw.) Lindb.,SPECIES,Plantae,Bryophyta,Bryopsida,Funariales,Funariaceae,Entosthodon
405,Ephemerum serratum (Hedw.) Hampe,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Ephemerum
409,Eucladium verticillatum (With.) Bruch & Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Pottiaceae,Eucladium
421,Eurhynchium striatum (Hedw.) Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Eurhynchium
423,Fissidens adianthoides Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
425,Fissidens bryoides Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
427,Fissidens crassipes Wilson ex Bruch & Schimp.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
429,Fissidens dubius P.Beauv.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
430,Fissidens exilis Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
431,Fissidens gracilifolius Brugg.-Nann. & Nyholm,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
433,Fissidens crispus Mont.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
434,Fissidens monguillonii Th‚r.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
435,Fissidens osmundoides Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
436,Fissidens pusillus (Wilson) Milde,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
439,Fissidens taxifolius Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
440,Fissidens viridulus (Sw. ) Wahlenb.,SPECIES,Plantae,Bryophyta,Bryopsida,Dicranales,Fissidentaceae,Fissidens
442,Fontinalis antipyretica Hedw.,SPECIES,Plantae,Bryophyta,Bryopsida,Hypnales,Fontinalaceae,Fontinalis
445,Fossombronia foveolata Lindb.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Fossombroniales,Fossombroniaceae,Fossombronia
446,Fossombronia incurva Lindb.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Fossombroniales,Fossombroniaceae,Fossombronia
447,Fossombronia pusilla (L.) Nees,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Fossombroniales,Fossombroniaceae,Fossombronia
448,Fossombronia wondraczekii (Corda) Lindb.,SPECIES,Plantae,Marchantiophyta,Jungermanniopsida,Fossombroniales,Fossombroniaceae,Fossombronia
